time,open,high,low,close,volume
2020-07-31 04:05:00,488.0,488.0,488.0,488.0,110
2020-07-31 04:15:00,486.86,487.0,486.86,487.0,741
2020-07-31 04:35:00,487.0,487.0,486.93,487.0,1110
2020-07-31 04:55:00,487.97,487.97,487.97,487.97,113
2020-07-31 06:00:00,487.68,487.68,487.68,487.68,201
2020-07-31 06:25:00,488.0,488.0,488.0,488.0,102
2020-07-31 06:45:00,488.0,488.0,488.0,488.0,336
2020-07-31 07:10:00,488.93,488.93,488.93,488.93,2031
2020-07-31 07:25:00,489.0,489.0,489.0,489.0,407
2020-07-31 07:30:00,488.75,488.75,488.75,488.75,324
2020-07-31 07:35:00,488.6,488.6,488.6,488.6,217
2020-07-31 07:55:00,488.5,488.5,488.5,488.5,101
2020-07-31 08:05:00,489.084,489.38,488.5001,488.55,4094
2020-07-31 08:10:00,488.6,488.6,488.6,488.6,693
2020-07-31 08:15:00,488.077,488.077,488.077,488.077,100
2020-07-31 08:30:00,488.12,488.66,488.12,488.66,554
2020-07-31 08:35:00,488.59,488.59,488.59,488.59,152
2020-07-31 08:40:00,488.4,488.5,488.4,488.5,980
2020-07-31 08:45:00,487.81,487.81,487.3,487.517,1036
2020-07-31 08:50:00,488.4999,488.4999,488.4999,488.4999,203
2020-07-31 09:00:00,488.0,488.0,488.0,488.0,343
2020-07-31 09:05:00,487.5,488.4985,487.5,488.0,873
2020-07-31 09:10:00,488.49,488.49,487.51,487.6,1551
2020-07-31 09:25:00,487.92,487.92,487.92,487.92,119
2020-07-31 09:30:00,487.76,488.75,487.76,488.41,5585
2020-07-31 09:35:00,488.29,488.84,486.11,487.58,187270
2020-07-31 09:40:00,487.31,489.75,485.73,488.555,168462
2020-07-31 09:45:00,488.6,492.64,488.6,492.11,219961
2020-07-31 09:50:00,492.1,493.0696,490.12,490.4999,122912
2020-07-31 09:55:00,490.505,492.63,489.2621,492.62,138197
2020-07-31 10:00:00,492.69,492.83,491.11,492.066,109827
2020-07-31 10:05:00,492.3,492.5,489.3401,490.3153,126258
2020-07-31 10:10:00,490.5,491.86,489.39,489.39,111134
2020-07-31 10:15:00,489.505,490.47,488.37,488.8401,88910
2020-07-31 10:20:00,488.9818,489.22,486.6601,487.4644,106701
2020-07-31 10:25:00,487.5279,488.9499,486.5,488.645,85316
2020-07-31 10:30:00,488.53,488.86,487.42,487.76,67142
